Mouse_id,Shank,Clu,Area,Layer,WVF_ratio,WVF_duration,Bl_ctr_row,Bl_ctr_col,Wh_ctr_row,Wh_ctr_col,Bl_rad,Wh_rad,Bl_lat,Wh_lat,Bl_mfr,Wh_mfr,Bl_SI,Wh_SI,Area_Overlap,Area_Union,OverlapIdx,PSTH_correln,Subfield_sep,Bl_stimc,Wh_stimc,Bl_chk_num,Wh_chk_num,Spont,Spont_cyc,Pref_ori,Pref_SF,Pref_TF,Max_rate,Max_rate_cyc,F0_pref,Sharp,CV,OSI,OSI_wnull,DSI_sev,DSI_chen,f1f0b,f1f0,Pval,F0_TF1,F0_TF2,F0_TF4,F0_TF8,F0_TF15,F1_TF1,F1_TF2,F1_TF4,F1_TF8,F1_TF15
62,2,2,1,NaN,0.215549039041187,0.275,9,10,1,1,4.40139943774984,0,89.5,NaN,11.4607553064083,7.23264495463483,0.21704329596622,NaN,0,64.052358104672,0,NaN,NaN,171,1,6,3,0.834285714285718,0.742857142857142,135,0.32,4,42.8571428571429,9.52380952380952,2.38095238095238,0.565,0.22221025715911,0.428571428571429,0.63302752293578,0.123595505617978,0.22,0.981766325561374,1.42698593831595,0.0185094155784453,2,2.04761904761905,2.38095238095238,1.38095238095238,1,1.78402771385951,2.02612115745981,2.33753887038422,1.62320220368668,1.0868034839115
62,3,3,1,NaN,0.218390570366483,0.275,6,9,12,2,5.60685057436199,0,66.5,NaN,21.0423061972472,10.8957804159064,0.265842714788767,NaN,0,107.319963738475,0,NaN,NaN,150,30,5,4,4.40571428571431,4.32063492063492,225,0.08,4,57.1428571428571,28.5714285714286,9,0.680555555555555,0.111063879629385,0.18125,0.427947598253275,0.155963302752294,0.26984126984127,0.921889826679877,1.7731056028748,0.00675805091247906,5.19047619047619,5.47619047619048,9,7.42857142857143,8.95238095238095,3.3031912443396,5.33219727104051,8.2970084401189,6.89913212674369,9.68056390590482
62,3,5,1,NaN,0.197926357567497,0.275,4,8,2,4,5.57785442804055,0,75.5,NaN,27.7666141318318,13.313964158145,0.283153286968822,NaN,0,104.874698741902,0,NaN,NaN,130,56,5,10,2.79238095238097,2.64444444444444,45,0.08,2,71.4285714285714,23.8095238095238,5.57142857142857,0.757478632478632,0.0486345265149977,0.0758620689655171,0.354735152487961,0.109004739336493,0.196581196581197,0.846904980659619,1.61205882978051,0.00170523629049793,5.38095238095238,5.57142857142857,5.42857142857143,2.80952380952381,1.66666666666667,4.62218839714155,4.71847060653216,5.71702372992491,3.36081934119775,1.9838377906711
72,2,3,1,NaN,0.219228375065107,0.45,9,20,13,6,3.18097096744501,0,171.5,NaN,12.0243263448861,10.7547248446559,0.22550229499408,NaN,0,53.9316779799677,0,NaN,NaN,351,103,10,6,0.8,0.25,315,0.64,15,37.5,12.5,2.95833333333333,0.60387323943662,0.0556996302464804,0.285067873303167,0.399239543726236,0.543478260869565,0.704225352112676,0.634369758786599,0.692926967289978,0.0188630922948254,2.29166666666667,0.375,1.33333333333333,2.83333333333333,2.95833333333333,1.18786881647464,0.352855348578216,1.28629593926641,1.88896647489622,1.87667720307702
72,3,6,1,NaN,0.303651340054094,0.475,5,11,10,5,2.88514167165197,0,175.5,NaN,7.61894386746631,5.11392365433839,0.19984893684438,NaN,0,33.554469675194,0,NaN,NaN,185,82,10,4,0.1,0,0,0.02,15,25,8.33333333333333,0.791666666666667,0.592105263157895,0.191162783712058,0.310344827586207,0.5,0.266666666666667,0.421052631578947,1.10025474012538,1.10025474012538,0.00671478395873842,0.333333333333333,0.208333333333333,0.416666666666667,0.625,0.791666666666667,0.657769746816372,0.402959104280664,0.832019116885747,1.15589846012821,0.87103500259926
72,3,8,1,NaN,0.204060705496308,0.45,9,14,7,7,2.94448241594942,0,91.5,NaN,23.6539725775758,5.40307877080598,0.227148188798464,NaN,0,27.2375351007142,0,NaN,NaN,243,115,6,2,0.2,0,225,0.02,15,50,37.5,5.875,0.554078014184397,0.131560480388299,0.247787610619469,0.492537313432836,0.128,0.226950354609929,1.63830360823029,1.63830360823029,0.00851226121028642,0.958333333333333,1.41666666666667,3,5.25,5.875,1.41866533560815,2.07280982427571,4.97146086971592,8.95908439080849,9.62503369835296
72,4,11,1,NaN,0.121467735132855,0.425,2,13,8,3,2.53404897104881,0,51.5,NaN,8.72315355165845,7.84027106480733,0.250936754016357,NaN,0,37.6978353638313,0,NaN,NaN,218,44,4,9,0.1,0,90,0.02,4,37.5,12.5,1.75,0.476190476190476,0.212316096893288,0.541284403669725,0.6,0.68,0.80952380952381,1.42202602918566,1.42202602918566,0.00127938050810905,0.708333333333333,1.08333333333333,1.75,1.125,0.333333333333333,0.890715366202271,1.5105587568751,2.4885455510749,1.15101886396704,0.446888264581374
72,4,13,1,NaN,0.165064781163654,0.4,5,9,14,1,2.72322696550062,0,102.5,NaN,38.6534392818895,6.76555110911782,0.246768639760459,NaN,0,23.2979414951246,0,NaN,NaN,149,14,7,2,0.2,0.25,45,0.04,8,37.5,16.6666666666667,3.79166666666667,0.581043956043956,0.271826494989175,0.510373443983402,0.708641975308642,0.0520231213872832,0.0989010989010988,1.53364475775656,1.64190203477467,0.00668181748704225,2.66666666666667,3.41666666666667,2.45833333333333,3.79166666666667,2.875,3.78601437983779,5.32693847854503,3.57133286263097,5.81506970649364,4.30216788976989
74,4,26,1,NaN,0.213066995798835,0.375,5,16,7,5,7.32403078236779,0,73.5,NaN,10.6567039774559,8.21846108392401,0.226105620480015,NaN,0,187.945784597696,0,NaN,NaN,275,79,5,4,3.5,1.5,180,0.16,8,87.5,58.3333333333333,21.9583333333333,0.688242784380306,0.17555884492751,0.340966921119593,0.571192052980132,0.110642781875659,0.199240986717268,0.246462806198488,0.264533398913652,0.000186389460257988,11.1666666666667,15.625,10.4583333333333,21.9583333333333,6.54166666666667,3.93733712996556,3.61454481579941,4.59466872918316,5.41191245277514,2.77995569376241
78,1,2,1,NaN,0.161143475730707,0.275,4,8,11,20,4.15372962981313,0,67.5,NaN,17.4880308364894,10.3810798326495,0.284779069546012,NaN,0,62.4221814402901,0,NaN,NaN,130,353,5,5,0.9,1.75,90,0.64,15,37.5,20.8333333333333,4.04166666666667,0.716494845360825,0.0814333195875668,0.371024734982332,0.484057971014493,0.515625,0.680412371134021,0.639572350375804,1.12797305429914,0.0248302824856542,2.625,3.29166666666667,2.04166666666667,3.58333333333333,4.04166666666667,1.86726284810314,1.71094863790475,1.19978031351727,2.27556720947382,2.58493824943554
60,3,13,1,NaN,0.327845840428655,0.275,5,11,5,12,13.7959664558697,0,70.5,NaN,21.4829912811113,26.345156682018,0.271986804553519,NaN,0,597.935215689743,0,NaN,NaN,185,203,5,5,3.25333333333332,3.28148148148148,225,0.08,15,66.6666666666667,27.7777777777778,6.66666666666667,0.8125,0.106649406887618,0.126760563380282,0.413249211356467,0.0714285714285714,0.133333333333333,0.380618892553829,0.749577687742771,0.0225767012180496,3.44444444444445,3.22222222222222,4.66666666666667,3.83333333333333,6.66666666666667,1.4754221906457,2.22143660105183,2.05276157715755,2.03956046517732,2.5374592836922
74,4,27,1,NaN,0.171967475142122,0.425,6,13,5,14,7.83326780213671,0,70.5,NaN,45.5289049512588,48.0564686452002,0.284859348176703,NaN,0,192.768390563159,0,NaN,NaN,222,239,5,7,4.4,5,180,0.04,4,50,33.3333333333333,13.375,0.470015576323987,0.229015558550861,0.42825361512792,0.610900832702498,0.206766917293233,0.342679127725857,0.37341006160471,0.596341441667224,0.0273395799205358,5.91666666666667,7.95833333333333,13.375,6.58333333333333,5.41666666666667,5.24514293869152,3.83526909785319,4.994359573963,3.69495923488874,1.75006614065008
74,4,30,1,NaN,0.21589970754208,0.375,6,18,6,18,9.14964940445724,0,69.5,NaN,18.8875477576379,20.901651232031,0.23827178541323,NaN,0,263.001835186946,0,NaN,NaN,312,312,5,5,5.5,3.75,135,0.04,1,62.5,29.1666666666667,9.83333333333334,0.511122881355932,0.275602863630443,0.568106312292359,0.709821428571429,0.232375979112272,0.377118644067797,0.456952101507818,0.738634903807158,0.0336237550414378,9.83333333333334,4,4.58333333333333,5.20833333333333,1.45833333333333,4.49336233149354,1.84107264032154,1.91663363575812,3.67203571593219,1.5244219695287
60,2,17,1,NaN,0.210579601832644,0.275,6,11,6,11,3.94276800806811,0,64.5,NaN,68.3907979469579,33.0741293106546,0.291222198592647,NaN,0,48.8373759037743,0,NaN,NaN,186,186,5,10,10.8777777777778,10.7888888888889,225,0.02,4,116.666666666667,66.6666666666667,16.6111111111111,0.70443143812709,0.110744129662319,0.202010050251256,0.46747149564051,0.0932358318098721,0.17056856187291,1.61675665077938,4.61269311625032,0.00359490460352649,12,10.3888888888889,16.6111111111111,13.6111111111111,14.3333333333333,17.0709984900058,15.2742718731787,26.8561243657241,21.8665174082843,23.9662722866475
62,2,11,1,NaN,0.16565594104601,0.275,8,8,8,8,5.33414384970586,0,73.5,NaN,36.9172103761967,20.7529629579445,0.279188248021387,NaN,0,89.3880204302739,0,NaN,NaN,134,134,5,11,3.61333333333336,3.39365079365079,135,0.08,8,42.8571428571429,33.3333333333333,6.95238095238095,0.780821917808219,0.0658077460005423,0.17741935483871,0.441095890410959,0.110266159695818,0.198630136986302,1.55334081094115,3.03462656196353,7.45592685020831e-06,2.90476190476191,4.14285714285714,6.80952380952381,6.95238095238095,3.57142857142857,2.59084283971845,5.36811590918796,10.7597210527297,10.7994170665432,4.90613730007544
62,3,4,1,NaN,0.137829754624094,0.275,6,10,6,10,4.15633140246399,0,70.5,NaN,39.7539863338688,27.282756259574,0.268876729571066,NaN,0,54.2712981183806,0,NaN,NaN,168,168,5,11,4.02666666666669,3.87936507936508,270,0.16,2,71.4285714285714,33.3333333333333,9.95238095238095,0.633771929824561,0.220457590731079,0.312401883830455,0.599268069533394,-0.0434782608695652,-0.0909090909090909,0.971607039042687,1.59225722289536,0.00223569037496728,5.28571428571429,9.95238095238095,7.38095238095238,9.76190476190476,6.61904761904762,3.26139269755511,9.6698033885677,10.6971171002793,12.7083262519171,5.85903230667237
62,3,9,1,NaN,0.149611066777769,0.275,4,9,4,9,4.26417261458555,0,71.5,NaN,54.7282727298168,33.5884915562644,0.25687180983123,NaN,0,57.1241072810489,0,NaN,NaN,148,148,5,11,3.04952380952383,3.14285714285714,225,0.08,4,71.4285714285714,38.0952380952381,14.9047619047619,0.579472843450479,0.168516811168717,0.306889352818372,0.543956043956044,0.113879003558719,0.204472843450479,0.980894394884076,1.24299573116889,0.00103948076226042,12.1428571428571,10.3809523809524,14.9047619047619,12.2380952380952,5.71428571428572,9.28207380412442,13.8969989848769,14.6199974094627,13.1194669863453,7.60851795281775
