timestamps population node_ids
1149.2790786041562 inputs 0
3067.594483836472 inputs 0
3653.701798042948 inputs 0
4078.2442551894687 inputs 0
4333.421176381504 inputs 0
194.4209678044434 inputs 1
441.6123436718522 inputs 1
1286.7632103764647 inputs 1
1599.708996879111 inputs 1
1718.4894003255285 inputs 1
2112.747078524827 inputs 1
3095.653551968196 inputs 1
3889.065946135179 inputs 1
4349.316548711534 inputs 1
4634.389757707019 inputs 1
364.6477140315352 inputs 2
401.61538537290653 inputs 2
1047.4168335237898 inputs 2
1163.874242878441 inputs 2
1874.4837413292837 inputs 2
2646.277972060846 inputs 2
2743.4708670847376 inputs 2
2789.4610440323895 inputs 2
2976.6600191598145 inputs 2
3056.451634506024 inputs 2
3413.8529245452637 inputs 2
4073.993944437573 inputs 2
4182.791322795992 inputs 2
4245.48837304152 inputs 2
4807.5390201839045 inputs 2
524.751029594449 inputs 3
627.1877414583076 inputs 3
1637.5610579351285 inputs 3
1702.666984892741 inputs 3
1730.9576215858274 inputs 3
1904.058782636792 inputs 3
1997.1750310656378 inputs 3
2615.105597682767 inputs 3
2615.7343457174625 inputs 3
2713.001584680877 inputs 3
3138.9726390229807 inputs 3
3536.9551000881056 inputs 3
3578.672420514127 inputs 3
3607.4542685916413 inputs 3
3993.3516883534908 inputs 3
4237.967765379082 inputs 3
4253.291923670342 inputs 3
4375.915920632058 inputs 3
4521.9207504407805 inputs 3
4945.886317965211 inputs 3
58.5335424470107 inputs 4
299.2673333123852 inputs 4
599.6611266075003 inputs 4
738.4635246654658 inputs 4
770.6422785795459 inputs 4
898.6257914667484 inputs 4
1284.9034872619852 inputs 4
1457.0852095204666 inputs 4
1475.3909381914605 inputs 4
1508.03877069779 inputs 4
1737.8580219831413 inputs 4
2272.4613468556004 inputs 4
2313.403904199303 inputs 4
2337.806819876895 inputs 4
2599.7437633494887 inputs 4
2608.321188635536 inputs 4
2614.5673140486524 inputs 4
2826.540027055881 inputs 4
3113.152461782407 inputs 4
3124.4028072893 inputs 4
3377.2367959679427 inputs 4
3397.7206283390633 inputs 4
3836.7226661407017 inputs 4
3954.800379742786 inputs 4
4926.131977210555 inputs 4
10.847242151815205 inputs 5
87.33882763325151 inputs 5
113.81108196982514 inputs 5
201.77659144123118 inputs 5
314.562613094363 inputs 5
316.89019782736915 inputs 5
433.6799618027387 inputs 5
681.2355711200796 inputs 5
834.9790566795862 inputs 5
1033.644129440412 inputs 5
1075.1604868838022 inputs 5
1351.5638423516602 inputs 5
1447.2859046542558 inputs 5
1580.8630034633402 inputs 5
1840.8950991929191 inputs 5
1875.7144143529836 inputs 5
1884.6255526606237 inputs 5
1901.1722176892242 inputs 5
2190.1100535144296 inputs 5
2298.4389104086963 inputs 5
2443.893814062111 inputs 5
2451.861426399171 inputs 5
2471.930548881621 inputs 5
3127.058946840177 inputs 5
3195.358335476408 inputs 5
3719.2285352362237 inputs 5
3893.941920974587 inputs 5
4053.0202799071353 inputs 5
4795.2455000849195 inputs 5
4822.240975369295 inputs 5
191.45388458396917 inputs 6
208.00164122120214 inputs 6
235.44880999576856 inputs 6
244.93485372934887 inputs 6
352.14186826853955 inputs 6
392.27362945640056 inputs 6
598.6859748882539 inputs 6
655.5548325656929 inputs 6
734.5460279902521 inputs 6
1089.2874716644885 inputs 6
