timestamps population node_ids
521.4000000001737 v1 0
1353.4999999994168 v1 1
1285.1999999994791 v1 1
1216.999999999541 v1 1
1148.8999999996029 v1 1
1080.8999999996647 v1 1
1012.9999999997264 v1 1
1486.0999999992962 v1 0
1417.6999999993586 v1 0
1349.3999999994205 v1 0
1281.0999999994826 v1 0
1212.8999999995447 v1 0
1144.7999999996064 v1 0
1076.7999999996684 v1 0
1421.799999999355 v1 1
1008.8999999997302 v1 0
877.4999999998497 v1 1
809.8999999999112 v1 1
742.3999999999727 v1 1
675.0000000000339 v1 1
607.7000000000951 v1 1
540.700000000156 v1 1
941.099999999792 v1 0
873.3999999998533 v1 0
805.7999999999148 v1 0
738.2999999999762 v1 0
670.9000000000376 v1 0
603.6000000000987 v1 0
537.0000000001594 v1 0
945.199999999788 v1 1
1490.1999999992927 v1 1
